Code_BuildingVariant;Remark_BuildingVariant_1;Remark_BuildingVariant_2;Date_Entry;Date_Change;Code_StatusDataset;Code_Country;Code_Building;Number_BuildingVariant;Description_BuildingVariant;Description_BuildingVariant_National;Code_BuildingType;Code_BuildingSizeClass;Code_ConstructionYearClass;Year1_Building;Year2_Building;A_C_Ref;delta_U_ThermalBridging;n_air_infiltration;A_Roof_1;A_Roof_2;A_Wall_1;A_Wall_2;A_Wall_3;A_Floor_1;A_Floor_2;A_Window_1;A_Window_2;A_Door_1;U_Roof_1;U_Roof_2;U_Wall_1;U_Wall_2;U_Wall_3;U_Floor_1;U_Floor_2;U_Window_1;U_Window_2;U_Door_1;d_Insulation_Roof_1;d_Insulation_Roof_2;d_Insulation_Wall_1;d_Insulation_Wall_2;d_Insulation_Wall_3;d_Insulation_Floor_1;d_Insulation_Floor_2;A_Window_Horizontal;A_Window_East;A_Window_South;A_Window_West;A_Window_North;R_Add_UnheatedSpace_Roof_1;R_Add_UnheatedSpace_Roof_2;R_Add_UnheatedSpace_Wall_1;R_Add_UnheatedSpace_Wall_2;R_Add_UnheatedSpace_Wall_3;R_Add_UnheatedSpace_Floor_1;R_Add_UnheatedSpace_Floor_2;b_Transmission_Roof_1;b_Transmission_Roof_2;b_Transmission_Wall_1;b_Transmission_Wall_2;b_Transmission_Wall_3;b_Transmission_Floor_1;b_Transmission_Floor_2;Code_Measure_Roof_1;Code_Measure_Roof_2;Code_Measure_Wall_1;Code_Measure_Wall_2;Code_Measure_Wall_3;Code_Measure_Floor_1;Code_Measure_Floor_2;Code_Measure_Window_1;Code_Measure_Window_2;Code_Measure_Door_1;R_Measure_Roof_1;R_Measure_Roof_2;R_Measure_Wall_1;R_Measure_Wall_2;R_Measure_Wall_3;R_Measure_Floor_1;R_Measure_Floor_2;R_Measure_Window_1;R_Measure_Window_2;R_Measure_Door_1;Code_MeasureType_Roof_1;Code_MeasureType_Roof_2;Code_MeasureType_Wall_1;Code_MeasureType_Wall_2;Code_MeasureType_Wall_3;Code_MeasureType_Floor_1;Code_MeasureType_Floor_2;Code_MeasureType_Window_1;Code_MeasureType_Window_2;Code_MeasureType_Door_1;Code_ClimateRegion;Name_ClimateRegion;HeatingDays;Theta_e;I_Sol_Hor;I_Sol_East;I_Sol_South;I_Sol_West;I_Sol_North;Code_BoundaryCond;theta_i;F_red_htr1;F_red_htr4;n_air_use;h_room;phi_int;g_gl_n;F_sh_hor;F_sh_vert;F_f;F_w;c_m;R_Before_Roof_1;R_Before_Roof_2;R_Before_Wall_1;R_Before_Wall_2;R_Before_Wall_3;R_Before_Floor_1;R_Before_Floor_2;R_Before_Window_1;R_Before_Window_2;R_Before_Door_1;U_Actual_Roof_1;U_Actual_Roof_2;U_Actual_Wall_1;U_Actual_Wall_2;U_Actual_Wall_3;U_Actual_Floor_1;U_Actual_Floor_2;U_Actual_Window_1;U_Actual_Window_2;U_Actual_Door_1;H_Transmission_Roof_1;H_Transmission_Roof_2;H_Transmission_Wall_1;H_Transmission_Wall_2;H_Transmission_Wall_3;H_Transmission_Floor_1;H_Transmission_Floor_2;H_Transmission_Window_1;H_Transmission_Window_2;H_Transmission_Door_1;H_Transmission_ThermalBridging;h_Transmission;h_Ventilation;Sum_DeltaT_for_HeatingDays;F_red_temp;q_ht_tr;q_ht_ve;q_ht;Q_Sol_Hor;Q_Sol_East;Q_Sol_South;Q_Sol_West;Q_Sol_North;q_sol;q_int;tau;a_H;gamma_h_gn;eta_h_gn;q_h_nd;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DE.N.AB.05.HR.ReEx.001.002;;;2014-09-08;;Typology;DE;DE.N.AB.05.HR.ReEx.001;2;;;DE.N.AB.05.HR;AB;DE.05;1958;1968;11448,8;0,1;0,2;0;501,19;6949,14;0;0;485,36;269,52;1947,19;0;2;0,8;0,6;1,2;1,2;1,2;1,6;1,6;3,5;3,5;3;0,05;0,05;0;0;0;0,01;0,01;0;493,8;610,1;493,8;349,49;0;0,3;0;0;0;0,3;0;1;1;1;0;0;0,5;0,5;DE.Roof.Insulation12cm.01;DE.Roof.FlatRoofInsulation12cm.01;DE.Wall.Insulation12cm.01;DE.Wall.Insulation12cm.01;DE.Wall.Insulation12cm.01;DE.Floor.Insulation08cm.01;DE.Floor.Insulation08cm.01;DE.Window.2p-LowE-arg.01;DE.Window.2p-LowE-arg.01;DE.Door.Insulated.02;2,436548223;3,428571429;3,447321429;3,447321429;3,447321429;2,285714286;2,285714286;0,769230769;0,769230769;0,769230769;Replace;Add;Add;Add;Add;Add;Add;Replace;Replace;Replace;DE.N;Germany;222;4,4;403;271;392;271;160;EU.MUH;20;0,95;0,85;0,4;2,5;3;0,6;0,8;0,6;0,3;0,9;45;1,25;1,97;0,83;0,83;0,83;0,93;0,63;0,29;0,29;0,33;0,41;0,19;0,23;0,23;0,23;0,31;0,34;1,3;1,3;1,3;0;92,89;1623,38;0;0;75,58;46,3;2531,35;0;2,6;1015,44;0,47;0,51;3463;0,95;37;40;77;0;30350;54241;30350;12682;11;16;46;2,33;0,35;0,94;51,88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DE.N.AB.06.Gen.ReEx.001.002;;;2014-09-08;;Typology;DE;DE.N.AB.06.Gen.ReEx.001;2;;;DE.N.AB.06.Gen;AB;DE.06;1969;1978;3322;0,1;0,2;0;540;2130;0;0;540;0;545;0;2;0,5;0,6;1,1;1,1;1,1;1;1;3,5;3,5;4;0,06;0,05;0;0;0;0,02;0,02;0;229;34;229;53;0;0,3;0;0;0;0,3;0;1;1;1;0;0;0,5;0;DE.Roof.Insulation12cm.01;DE.Roof.FlatRoofInsulation12cm.01;DE.Wall.Insulation12cm.01;DE.Wall.Insulation12cm.01;DE.Wall.Insulation12cm.01;DE.Floor.Insulation08cm.01;DE.Floor.Insulation08cm.01;DE.Window.2p-LowE-arg.01;DE.Window.2p-LowE-arg.01;DE.Door.Insulated.02;2,436548223;3,428571429;3,447321429;3,447321429;3,447321429;2,285714286;2,285714286;0,769230769;0,769230769;0,769230769;Replace;Add;Add;Add;Add;Add;Add;Replace;Replace;Replace;DE.N;Germany;222;4,4;403;271;392;271;160;EU.MUH;20;0,95;0,85;0,4;2,5;3;0,6;0,8;0,6;0,3;0,9;45;2;1,97;0,91;0,91;0,91;1,3;1;0,29;0,29;0,25;0,41;0,19;0,23;0,23;0,23;0,28;0,3;1,3;1,3;1,3;0;100,09;488,93;0;0;75,3;0;708,5;0;2,6;375,7;0,53;0,51;3463;0,95;42;40;82;0;14075;3023;14075;1923;10;16;43;2,25;0,317;0,95;57,32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DE.N.AB.06.HR.ReEx.001.002;;;2014-09-08;;Typology;DE;DE.N.AB.06.HR.ReEx.001;2;;;DE.N.AB.06.HR;AB;DE.06;1969;1978;19813,2;0,1;0,2;0;1468,97;14623,4;0;0;1468,97;0;2580,52;0;2;0,5;0,6;1,1;1,1;1,1;1;1;3,5;3,5;4;0,06;0,05;0;0;0;0,02;0,02;0;760,22;763,88;760,22;296,2;0;0,3;0;0;0;0,3;0;1;1;1;0;0;0,5;0;DE.Roof.Insulation12cm.01;DE.Roof.FlatRoofInsulation12cm.01;DE.Wall.Insulation12cm.01;DE.Wall.Insulation12cm.01;DE.Wall.Insulation12cm.01;DE.Floor.Insulation08cm.01;DE.Floor.Insulation08cm.01;DE.Window.2p-LowE-arg.01;DE.Window.2p-LowE-arg.01;DE.Door.Insulated.02;2,436548223;3,428571429;3,447321429;3,447321429;3,447321429;2,285714286;2,285714286;0,769230769;0,769230769;0,769230769;Replace;Add;Add;Add;Add;Add;Add;Replace;Replace;Replace;DE.N;Germany;222;4,4;403;271;392;271;160;EU.MUH;20;0,95;0,85;0,4;2,5;3;0,6;0,8;0,6;0,3;0,9;45;2;1,97;0,91;0,91;0,91;1,3;1;0,29;0,29;0,25;0,41;0,19;0,23;0,23;0,23;0,28;0,3;1,3;1,3;1,3;0;272,27;3356,75;0;0;204,84;0;3354,68;0;2,6;2014,39;0,46;0,51;3463;0,95;37;40;77;0;46725;67913;46725;10749;9;16;46;2,34;0,321;0,95;53,48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DE.East.AB.06.Gen.ReEx.001.002;;;2014-09-08;;Typology;DE;DE.East.AB.06.Gen.ReEx.001;2;;;DE.East.AB.06.Gen;AB;DE.06;1969;1978;3107,5;0,1;0,2;0;598,34;1599,73;0;0;598,34;0;461;0;2;0,8;0,6;1,1;1,1;1,1;1;1;2,7;2,7;4;0,05;0,05;0;0;0;0,02;0,02;0;0;278;0;183;0;0,3;0;0;0;0,3;0;1;1;1;0;0;0,5;0;DE.Roof.Insulation12cm.01;DE.Ceiling.Insulation12cm.01;DE.Wall.Insulation12cm.01;DE.Wall.Insulation12cm.01;DE.Wall.Insulation12cm.01;DE.Floor.Insulation08cm.01;DE.Floor.Insulation08cm.01;DE.Window.2p-LowE-arg.01;DE.Window.2p-LowE-arg.01;DE.Door.Insulated.02;2,436548223;3,428571429;3,447321429;3,447321429;3,447321429;2,285714286;2,285714286;0,769230769;0,769230769;0,769230769;Replace;Add;Add;Add;Add;Add;Add;Replace;Replace;Replace;DE.N;Germany;222;4,4;403;271;392;271;160;EU.MUH;20;0,95;0,85;0,4;2,5;3;0,6;0,8;0,6;0,3;0,9;45;1,25;1,97;0,91;0,91;0,91;1,3;1;0,37;0,37;0,25;0,41;0,19;0,23;0,23;0,23;0,28;0,3;1,3;1,3;1,3;0;110,9;367,21;0;0;83,43;0;599,3;0;2,6;325,94;0,48;0,51;3463;0,95;38;40;78;0;0;24716;0;6641;10;16;45;2,32;0,334;0,95;53,45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DE.East.AB.06.HR.ReEx.001.002;;;2014-09-08;;Typology;DE;DE.East.AB.06.HR.ReEx.001;2;;;DE.East.AB.06.HR;AB;DE.06;1969;1978;5275,6;0,1;0,2;0;598,3369;2992,09;0;0;598,3369;0;756;0;2;0,5;0,6;1,1;1,1;1,1;1;1;2,7;2,7;4;0,06;0,05;0;0;0;0,02;0,02;0;378;0;378;0;0;0,3;0;0;0;0,3;0;1;1;1;0;0;0,5;0;DE.Roof.Insulation12cm.01;DE.Ceiling.Insulation12cm.01;DE.Wall.Insulation12cm.01;DE.Wall.Insulation12cm.01;DE.Wall.Insulation12cm.01;DE.Floor.Insulation08cm.01;DE.Floor.Insulation08cm.01;DE.Window.2p-LowE-arg.01;DE.Window.2p-LowE-arg.01;DE.Door.Insulated.02;2,436548223;3,428571429;3,447321429;3,447321429;3,447321429;2,285714286;2,285714286;0,769230769;0,769230769;0,769230769;Replace;Add;Add;Add;Add;Add;Add;Replace;Replace;Replace;DE.N;Germany;222;4,4;403;271;392;271;160;EU.MUH;20;0,95;0,85;0,4;2,5;3;0,6;0,8;0,6;0,3;0,9;45;2;1,97;0,91;0,91;0,91;1,3;1;0,37;0,37;0,25;0,41;0,19;0,23;0,23;0,23;0,28;0,3;1,3;1,3;1,3;0;110,9;686,82;0;0;83,43;0;982,8;0;2,6;494,68;0,45;0,51;3463;0,95;35;40;76;0;23233;0;23233;0;9;16;47;2,37;0,328;0,95;52,04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DE.East.AB.07.Gen.ReEx.001.002;;;2014-09-08;;Typology;DE;DE.East.AB.07.Gen.ReEx.001;2;;;DE.East.AB.07.Gen;AB;DE.07;1979;1983;3107,5;0,1;0,2;0;598,34;1673,73;0;0;598,34;0;387;0;2;0,5;0,5;0,9;0,9;0,9;0,8;0,8;2,7;2,7;4;0,06;0,06;0;0;0;0,04;0,04;0;0;215;0;172;0;0,3;0;0;0;0,3;0;1;1;1;0;0;0,5;0;DE.Roof.Insulation12cm.01;DE.Ceiling.Insulation12cm.01;DE.Wall.Insulation12cm.01;DE.Wall.Insulation12cm.01;DE.Wall.Insulation12cm.01;DE.Floor.Insulation08cm.01;DE.Floor.Insulation08cm.01;DE.Window.2p-LowE-arg.01;DE.Window.2p-LowE-arg.01;DE.Door.Insulated.02;2,436548223;3,428571429;3,447321429;3,447321429;3,447321429;2,285714286;2,285714286;0,769230769;0,769230769;0,769230769;Replace;Add;Add;Add;Add;Add;Add;Replace;Replace;Replace;DE.N;Germany;222;4,4;403;271;392;271;160;EU.MUH;20;0,95;0,85;0,4;2,5;3;0,6;0,8;0,6;0,3;0,9;45;2;2,3;1,11;1,11;1,11;1,55;1,25;0,37;0,37;0,25;0,41;0,17;0,22;0,22;0,22;0,26;0,28;1,3;1,3;1,3;0;104,45;367,17;0;0;78;0;503,1;0;2,6;325,94;0,44;0,51;3463;0,95;35;40;75;0;0;19115;0;6242;8;16;47;2,37;0,32;0,95;52,35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DE.East.AB.07.HR.ReEx.001.002;;;2014-09-08;;Typology;DE;DE.East.AB.07.HR.ReEx.001;2;;;DE.East.AB.07.HR;AB;DE.07;1979;1983;7997;0,1;0,2;0;695,12;4221,74;0;0;695,12;0;1471,06;0;2;0,5;0,5;0,9;0,9;0,9;0,8;0,8;3,5;3,5;4;0,08;0,06;0;0;0;0,04;0,04;0;397,245;398,64;397,245;277,93;0;0,3;0;0;0;0,3;0;1;1;1;0;0;0,5;0;DE.Roof.Insulation12cm.01;DE.Ceiling.Insulation12cm.01;DE.Wall.Insulation12cm.01;DE.Wall.Insulation12cm.01;DE.Wall.Insulation12cm.01;DE.Floor.Insulation08cm.01;DE.Floor.Insulation08cm.01;DE.Window.2p-LowE-arg.01;DE.Window.2p-LowE-arg.01;DE.Door.Insulated.02;2,436548223;3,428571429;3,447321429;3,447321429;3,447321429;2,285714286;2,285714286;0,769230769;0,769230769;0,769230769;Replace;Add;Add;Add;Add;Add;Add;Replace;Replace;Replace;DE.N;Germany;222;4,4;403;271;392;271;160;EU.MUH;20;0,95;0,85;0,4;2,5;3;0,6;0,8;0,6;0,3;0,9;45;2;2,3;1,11;1,11;1,11;1,55;1,25;0,29;0,29;0,25;0,41;0,17;0,22;0,22;0,22;0,26;0,28;1,3;1,3;1,3;0;121,34;926,14;0;0;90,61;0;1912,38;0;2,6;708,5;0,47;0,51;3463;0,95;37;40;77;0;24416;35441;24416;10086;12;16;46;2,33;0,359;0,94;51,32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DE.East.AB.08.Gen.ReEx.001.002;;;2014-09-08;;Typology;DE;DE.East.AB.08.Gen.ReEx.001;2;;;DE.East.AB.08.Gen;AB;DE.08;1984;1994;3107,5;0,1;0,2;0;598,34;1673,73;0;0;598,34;0;387;0;2;0,4;0,4;0,6;0,6;0,6;0,6;0,6;3,5;3,5;4;0,1;0,1;0;0;0;0,06;0,06;0;0;215;0;172;0;0,3;0;0;0;0,3;0;1;1;1;0;0;0,5;0;DE.Roof.Insulation12cm.01;DE.Ceiling.Insulation12cm.01;DE.Wall.Insulation12cm.01;DE.Wall.Insulation12cm.01;DE.Wall.Insulation12cm.01;DE.Floor.Insulation08cm.01;DE.Floor.Insulation08cm.01;DE.Window.2p-LowE-arg.01;DE.Window.2p-LowE-arg.01;DE.Door.Insulated.02;2,436548223;3,428571429;3,447321429;3,447321429;3,447321429;2,285714286;2,285714286;0,769230769;0,769230769;0,769230769;Replace;Add;Add;Add;Add;Add;Add;Replace;Replace;Replace;DE.N;Germany;222;4,4;403;271;392;271;160;EU.MUH;20;0,95;0,85;0,4;2,5;3;0,6;0,8;0,6;0,3;0,9;45;2,5;2,8;1,67;1,67;1,67;1,97;1,67;0,29;0,29;0,25;0,41;0,16;0,2;0,2;0,2;0,24;0,25;1,3;1,3;1,3;0;96,06;327,28;0;0;70,35;0;503,1;0;2,6;325,94;0,43;0,51;3463;0,95;34;40;74;0;0;19115;0;6242;8;16;48;2,4;0,327;0,95;50,93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DE.N.MFH.01.Gen.ReEx.001.002;;;2014-09-08;;Typology;DE;DE.N.MFH.01.Gen.ReEx.001;2;;;DE.N.MFH.01.Gen;MFH;DE.01;0;1859;677,4911;0,15;0,2;284,1;0;749,31;0;0;124,76;48,97;106,97;0;2;2,6;1;2;2;2;1,2;1,2;3,5;3,5;3;0;0;0;0;0;0;0;0;25,46;36,57;25,46;19,48;0;0;0;0;0;0,3;0;1;0;1;0;0;0,5;0,5;DE.Roof.Insulation12cm.01;DE.Ceiling.Insulation12cm.01;DE.Wall.Insulation08cm.04;DE.Wall.Insulation08cm.04;DE.Wall.Insulation08cm.04;DE.Floor.Insulation08cm.01;DE.Floor.Insulation08cm.01;DE.Window.2p-LowE-arg.02;DE.Window.2p-LowE-arg.02;DE.Door.Insulated.01;2,436548223;3,428571429;2,345714286;2,345714286;2,345714286;2,285714286;2,285714286;0,625;0,625;0,625;Replace;Add;Add;Add;Add;Add;Add;Replace;Replace;Replace;DE.N;Germany;222;4,4;403;271;392;271;160;EU.MUH;20;0,95;0,85;0,4;2,5;3;0,6;0,8;0,6;0,3;0,9;45;0,38;1;0,5;0,5;0,5;1,13;0,83;0,29;0,29;0,33;0,41;0,23;0,35;0,35;0,35;0,29;0,32;1,6;1,6;1,6;116,6;0;263,31;0;0;18,24;7,85;171,15;0;3,2;197,42;1,15;0,51;3463;0,95;90;40;130;0;1565;3251;1565;707;10;16;27;1,7;0,203;0,95;105,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DE.N.MFH.02.Gen.ReEx.001.002;;;2014-09-08;;Typology;DE;DE.N.MFH.02.Gen.ReEx.001;2;;;DE.N.MFH.02.Gen;MFH;DE.02;1860;1918;312,4;0,15;0,2;102,8;0;146;0;0;102,8;0;54,08;0;2;1,3;1;2,2;2,2;2,2;1,2;1,2;2,7;2,7;3;0;0;0;0;0;0;0;0;26,395;0;26,395;1,29;0;0,3;0;0;0;0,3;0;1;1;1;0;0;0,5;0;DE.Roof.Insulation12cm.01;DE.Ceiling.Insulation12cm.01;DE.Wall.Insulation08cm.02;DE.Wall.Insulation08cm.02;DE.Wall.Insulation08cm.02;DE.Floor.Insulation08cm.03;DE.Floor.Insulation08cm.03;DE.Window.2p-LowE-arg.02;DE.Window.2p-LowE-arg.02;DE.Door.Insulated.01;2,436548223;3,428571429;2,345714286;2,345714286;2,345714286;2,285714286;2,285714286;0,625;0,625;0,625;Replace;Add;Add;Add;Add;Add;Add;Replace;Replace;Replace;DE.N;Germany;222;4,4;403;271;392;271;160;EU.MUH;20;0,95;0,85;0,4;2,5;3;0,6;0,8;0,6;0,3;0,9;45;0,77;1,3;0,45;0,45;0,45;1,13;0,83;0,37;0,37;0,33;0,41;0,21;0,36;0,36;0,36;0,29;0,32;1,6;1,6;1,6;42,19;0;52,14;0;0;15,03;0;86,53;0;3,2;61,15;0,83;0,51;3463;0,95;66;40;106;0;1622;0;1622;47;11;16;34;1,92;0,25;0,95;80,95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DE.N.MFH.03.Gen.ReEx.001.002;;;2014-09-08;;Typology;DE;DE.N.MFH.03.Gen.ReEx.001;2;;;DE.N.MFH.03.Gen;MFH;DE.03;1919;1948;385;0,1;0,2;158,5;31,1;323,54;0;0;127,4;31,1;71,16;0;2;1,4;0,8;1,7;1,7;1,7;1;1;3,5;3,5;3;0;0;0;0;0;0;0;0;9,5;33,66;9,5;18,5;0;0,3;0;0;0;0,3;0;1;1;1;0;0;0,5;0,5;DE.Roof.Insulation12cm.01;DE.Ceiling.Insulation12cm.01;DE.Wall.Insulation12cm.01;DE.Wall.Insulation12cm.01;DE.Wall.Insulation12cm.01;DE.Floor.Insulation08cm.01;DE.Floor.Insulation08cm.01;DE.Window.2p-LowE-arg.01;DE.Window.2p-LowE-arg.01;DE.Door.Insulated.02;2,436548223;3,428571429;3,447321429;3,447321429;3,447321429;2,285714286;2,285714286;0,769230769;0,769230769;0,769230769;Replace;Add;Add;Add;Add;Add;Add;Replace;Replace;Replace;DE.N;Germany;222;4,4;403;271;392;271;160;EU.MUH;20;0,95;0,85;0,4;2,5;3;0,6;0,8;0,6;0,3;0,9;45;0,71;1,55;0,59;0,59;0,59;1,3;1;0,29;0,29;0,33;0,41;0,2;0,25;0,25;0,25;0,28;0,3;1,3;1,3;1,3;65,05;6,25;80,17;0;0;17,76;4,73;92,51;0;2,6;74,48;0,89;0,51;3463;0,95;70;40;111;0;584;2993;584;671;13;16;32;1,87;0,258;0,94;83,91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DE.N.MFH.04.Gen.ReEx.001.002;;;2014-09-08;;Typology;DE;DE.N.MFH.04.Gen.ReEx.001;2;;;DE.N.MFH.04.Gen;MFH;DE.04;1949;1957;632,28;0,1;0,2;0;355;462;0;0;355;0;98,72;0;2;1,4;1,6;1,2;1,2;1,2;2,2;2,2;3,5;3,5;3;0;0,01;0;0;0;0;0;0;45,58;3,78;45,58;3,78;0;0,3;0;0;0;0,3;0;0;1;1;0;0;0,5;0;DE.Roof.Insulation12cm.01;DE.Ceiling.Insulation12cm.01;DE.Wall.Insulation12cm.01;DE.Wall.Insulation12cm.01;DE.Wall.Insulation12cm.01;DE.Floor.Insulation08cm.01;DE.Floor.Insulation08cm.01;DE.Window.2p-LowE-arg.01;DE.Window.2p-LowE-arg.01;DE.Door.Insulated.02;2,436548223;3,428571429;3,447321429;3,447321429;3,447321429;2,285714286;2,285714286;0,769230769;0,769230769;0,769230769;Replace;Add;Add;Add;Add;Add;Add;Replace;Replace;Replace;DE.N;Germany;222;4,4;403;271;392;271;160;EU.MUH;20;0,95;0,85;0,4;2,5;3;0,6;0,8;0,6;0,3;0,9;45;0,71;0,93;0,83;0,83;0,83;0,75;0,45;0,29;0,29;0,33;0,41;0,23;0,23;0,23;0,23;0,33;0,36;1,3;1,3;1,3;0;81,54;107,93;0;0;58,38;0;128,34;0;2,6;127,27;0,8;0,51;3463;0,95;63;40;103;0;2801;336;2801;137;10;16;34;1,94;0,247;0,95;79,17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DE.East.MFH.04.Gen.ReEx.001.002;;;2014-09-08;;Typology;DE;DE.East.MFH.04.Gen.ReEx.001;2;;;DE.East.MFH.04.Gen;MFH;DE.04;1949;1957;1928,3;0,1;0,2;0;558,714;1158,16;0;0;558,714;0;319,9;0;2;1,4;1,6;1,2;1,2;1,2;2,2;2,2;3,5;3,5;3;0;0,01;0;0;0;0;0;0;0;150,3;0;169,6;0;0,3;0;0;0;0,3;0;1;1;1;0;0;0,5;0;DE.Roof.Insulation12cm.01;DE.Ceiling.Insulation12cm.01;DE.Wall.Insulation12cm.01;DE.Wall.Insulation12cm.01;DE.Wall.Insulation12cm.01;DE.Floor.Insulation08cm.01;DE.Floor.Insulation08cm.01;DE.Window.2p-LowE-arg.01;DE.Window.2p-LowE-arg.01;DE.Door.Insulated.02;2,436548223;3,428571429;3,447321429;3,447321429;3,447321429;2,285714286;2,285714286;0,769230769;0,769230769;0,769230769;Replace;Add;Add;Add;Add;Add;Add;Replace;Replace;Replace;DE.N;Germany;222;4,4;403;271;392;271;160;EU.MUH;20;0,95;0,85;0,4;2,5;3;0,6;0,8;0,6;0,3;0,9;45;0,71;0,93;0,83;0,83;0,83;0,75;0,45;0,29;0,29;0,33;0,41;0,23;0,23;0,23;0,23;0,33;0,36;1,3;1,3;1,3;0;128,33;270,56;0;0;91,89;0;415,87;0;2,6;259,75;0,61;0,51;3463;0,95;48;40;88;0;0;13363;0;6154;10;16;40;2,14;0,296;0,95;63,42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DE.N.MFH.05.Gen.ReEx.001.002;;;2014-09-08;;Typology;DE;DE.N.MFH.05.Gen.ReEx.001;2;;;DE.N.MFH.05.Gen;MFH;DE.05;1958;1968;3129,071;0,1;0,2;0;971,11;2039;0;0;971,11;0;507,48;0;2;0,8;0,6;1,2;1,2;1,2;1,6;1,6;3,5;3,5;3;0,05;0,05;0;0;0;0,01;0,01;0;22,245;243,24;22,245;219,75;0;0,3;0;0;0;0,3;0;0;1;1;0;0;0,5;0;DE.Roof.Insulation12cm.01;DE.Ceiling.Insulation12cm.01;DE.Wall.Insulation12cm.01;DE.Wall.Insulation12cm.01;DE.Wall.Insulation12cm.01;DE.Floor.Insulation08cm.01;DE.Floor.Insulation08cm.01;DE.Window.2p-LowE-arg.01;DE.Window.2p-LowE-arg.01;DE.Door.Insulated.02;2,436548223;3,428571429;3,447321429;3,447321429;3,447321429;2,285714286;2,285714286;0,769230769;0,769230769;0,769230769;Replace;Add;Add;Add;Add;Add;Add;Replace;Replace;Replace;DE.N;Germany;222;4,4;403;271;392;271;160;EU.MUH;20;0,95;0,85;0,4;2,5;3;0,6;0,8;0,6;0,3;0,9;45;1,25;1,97;0,83;0,83;0,83;0,93;0,63;0,29;0,29;0,33;0,41;0,19;0,23;0,23;0,23;0,31;0,34;1,3;1,3;1,3;0;179,99;476,33;0;0;151,23;0;659,72;0;2,6;449,07;0,61;0,51;3463;0,95;48;40;89;0;1367;21625;1367;7974;10;16;40;2,14;0,297;0,95;63,79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
