GENESIS-Tabelle: 036-02-5-B
Gebäude mit Wohnraum nach Anzahl der Wohnungen;;;;;;;
- Stichtag 09.05.2011;;;;;;;
regionale Ebenen;;;;;;;
Gebäude- und Wohnungszählung 2011 (Zensus);;;;;;;
Stichtag: 09.05.2011;;;;;;;
;;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum
;;Gebäude nach Zahl der Wohnungen;Gebäude nach Zahl der Wohnungen;Gebäude nach Zahl der Wohnungen;Gebäude nach Zahl der Wohnungen;Gebäude nach Zahl der Wohnungen;Gebäude nach Zahl der Wohnungen
;;Insgesamt;1 Wohnung;2 Wohnungen;3 - 6 Wohnungen;7 - 12 Wohnungen;13 und mehr Wohnungen
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
03352407;Hemmoor, Samtgemeinde;5497;4724;528;232;6;7
03352407020;Hechthausen;1424;1241;137;46;-;-
03352407022;Hemmoor;3290;2806;298;173;6;7
03352407044;Osten;783;677;93;13;-;-
03352408;Land Wursten, Samtgemeinde;3608;2856;540;187;13;12
03352408010;Cappel;282;236;40;6;-;-
03352408012;Dorum;1419;1097;204;96;10;12
03352408034;Midlum b Bremerhaven;634;511;107;16;-;-
03352408035;Misselwarden;162;131;28;3;-;-
03352408037;Mulsum;188;155;33;-;-;-
03352408047;Padingbüttel;198;159;20;19;-;-
03352408057;Wremen;725;567;108;47;3;-
03352409;Sietland, Samtgemeinde;-;-;-;-;-;-
03352409025;Ihlienworth;-;-;-;-;-;-
03352409043;Odisheim;-;-;-;-;-;-
03352409051;Steinau;-;-;-;-;-;-
03352409055;Wanna;-;-;-;-;-;-
03352410;Land Hadeln, Samtgemeinde;5813;4804;725;247;31;6
03352410025;Ihlienworth;615;511;83;21;-;-
03352410038;Neuenkirchen;534;438;69;27;-;-
03352410041;Nordleda;421;353;56;12;-;-
03352410043;Odisheim;217;201;16;-;-;-
03352410045;Osterbruch;208;166;35;7;-;-
03352410046;Otterndorf, Stadt;2685;2179;325;147;28;6
03352410051;Steinau;306;267;27;12;-;-
03352410055;Wanna;827;689;114;21;3;-
03353005;Buchholz i. d. Nordheide;12050;10036;1032;651;273;58
03353026;Neu Wulmstorf;6343;5254;665;326;77;21
03353029;Rosengarten, Kr Harburg;4475;3550;638;251;33;3
03353031;Seevetal;12864;10147;1599;842;225;51
03353032;Stelle;3492;2733;526;204;26;3
03353040;Winsen (Luhe);8885;6636;1170;759;283;37
03353401;Elbmarsch, Samtgemeinde;3805;2971;617;211;6;-
03353401007;Drage, Elbe;1201;914;203;81;3;-
03353401023;Marschacht;1183;900;205;75;3;-
03353401033;Tespe;1421;1157;209;55;-;-
03353402;Hanstedt, Samtgemeinde;4754;3633;734;340;38;9
03353402002;Asendorf, Nordheide;666;538;96;32;-;-
03353402004;Brackel;633;493;111;29;-;-
03353402009;Egestorf;828;637;121;66;4;-
03353402016;Hanstedt, Nordheide;1794;1337;277;146;28;6
03353402024;Marxen;468;370;67;22;6;3
03353402036;Undeloh;365;258;62;45;-;-
03353403;Hollenstedt, Samtgemeinde;3758;2990;571;180;17;-
03353403001;Appel;724;607;104;10;3;-
03353403008;Drestedt;272;224;35;13;-;-
03353403014;Halvesbostel;213;158;37;18;-;-
03353403019;Hollenstedt;1101;873;143;71;14;-
03353403025;Moisburg;613;469;113;31;-;-
03353403028;Regesbostel;371;284;70;17;-;-
03353403039;Wenzendorf;464;375;69;20;-;-
03353404;Jesteburg, Samtgemeinde;3746;3079;445;185;28;9
03353404003;Bendestorf;813;673;101;33;6;-
03353404017;Harmstorf;302;230;50;22;-;-
03353404020;Jesteburg;2631;2176;294;130;22;9
03353405;Salzhausen, Samtgemeinde;4535;3521;749;235;27;3
03353405010;Eyendorf;386;280;79;27;-;-
03353405011;Garlstorf;345;264;66;15;-;-
03353405012;Garstedt;505;410;80;15;-;-
03353405013;Gödenstorf;284;203;61;17;3;-
03353405030;Salzhausen;1431;1101;213;96;18;3
03353405034;Toppenstedt;707;576;102;29;-;-
03353405037;Vierhöfen;315;245;47;17;6;-
03353405042;Wulfsen;562;442;101;19;-;-
03353406;Tostedt, Samtgemeinde;7974;6368;1013;459;130;4
03353406006;Dohren, Nordheide;370;293;53;24;-;-
03353406015;Handeloh;1024;897;105;22;-;-
03353406018;Heidenau, Nordheide;617;472;103;33;9;-
03353406021;Kakenstorf;551;494;48;9;-;-
03353406022;Königsmoor;195;145;37;13;-;-
03353406027;Otter;503;389;90;24;-;-
03353406035;Tostedt;3778;2948;428;277;121;4
03353406038;Welle;403;312;73;18;-;-
03353406041;Wistedt;533;418;76;39;-;-
03354403;Gartow, Samtgemeinde;2062;1750;237;75;-;-
03354403005;Gartow, Elbe;745;648;72;25;-;-
03354403007;Gorleben;347;308;33;6;-;-
03354403010;Höhbeck;439;366;55;18;-;-
03354403020;Prezelle;235;183;41;11;-;-
03354403021;Schnackenburg;296;245;36;15;-;-
03354406;Elbtalaue, Samtgemeinde;7750;6072;1092;514;56;16
03354406003;Damnatz;135;118;11;6;-;-
03354406004;Dannenberg (Elbe);2576;1908;377;252;36;3
03354406006;Göhrde;254;218;36;-;-;-
03354406008;Gusborn;518;429;73;16;-;-
03354406009;Hitzacker (Elbe);1729;1252;277;167;20;13
03354406011;Jameln;431;367;49;15;-;-
03354406012;Karwitz;339;298;35;6;-;-
03354406014;Langendorf, Elbe;343;296;41;6;-;-
03354406019;Neu Darchau;630;509;99;22;-;-
03354406027;Zernien;795;677;94;24;-;-
03354407;Lüchow (Wendland), Samtgemeinde;9074;7120;1346;533;61;14
03354407001;Bergen an der Dumme;543;415;89;39;-;-
03354407002;Clenze;928;757;138;33;-;-
03354407013;Küsten;547;447;73;24;3;-
03354407015;Lemgow;597;486;91;20;-;-
03354407016;Luckau (Wendland);235;194;32;9;-;-
03354407017;Lübbow;282;220;50;12;-;-
03354407018;Lüchow (Wendland);3092;2308;430;292;48;14
03354407022;Schnega;557;455;86;16;-;-
03354407023;Trebel;432;369;59;4;-;-
03354407024;Waddeweitz;419;341;59;19;-;-
03354407025;Woltersdorf, Niedersachs;352;268;62;22;-;-
03354407026;Wustrow (Wendland);1090;860;177;43;10;-
03354501;Gartow, gem.fr. Geb.;-;x;x;x;x;x
03354502;Göhrde, gem.fr. Geb.;-;x;x;x;x;x
03355001;Adendorf;3145;2523;386;193;31;12
03355009;Bleckede;3281;2532;492;218;39;-
03355022;Lüneburg;15563;10438;1626;2443;844;212
03355049;Amt Neuhaus;1764;1293;346;109;16;-
03355401;Amelinghausen, Samtgemeinde;2706;2051;445;184;26;-
03355401002;Amelinghausen;1190;889;205;76;20;-
03355401008;Betzendorf;359;266;69;24;-;-
03355401027;Oldendorf (Luhe);353;267;51;29;6;-
03355401029;Rehlingen;265;203;39;23;-;-
03355401034;Soderstorf;539;426;81;32;-;-
03355402;Bardowick, Samtgemeinde;5203;4042;838;277;43;3
03355402004;Bardowick;1881;1371;323;150;34;3
03355402007;Barum, Kr Lüneburg;713;603;74;36;-;-
03355402017;Handorf;604;474;109;21;-;-
03355402023;Mechtersen;220;160;46;11;3;-
03355402028;Radbruch;642;491;129;16;6;-
03355402039;Vögelsen;730;611;89;30;-;-
03355402042;Wittorf;413;332;68;13;-;-
03355403;Dahlenburg, Samtgemeinde;2248;1744;353;148;3;-
03355403010;Boitze;142;108;25;6;3;-
03355403012;Dahlem, Niedersachs;174;136;25;13;-;-
03355403013;Dahlenburg;1107;816;196;95;-;-
03355403025;Nahrendorf;513;408;74;31;-;-
03355403037;Tosterglope;312;276;33;3;-;-
03355404;Gellersen, Samtgemeinde;3771;2948;553;203;48;19
03355404020;Kirchgellersen;683;507;129;44;3;-
03355404031;Reppenstedt;2023;1583;264;112;45;19
03355404035;Südergellersen;516;423;71;22;-;-
03355404041;Westergellersen;549;435;89;25;-;-
03355405;Ilmenau, Samtgemeinde;3385;2683;510;185;7;-
03355405006;Barnstedt;251;187;52;12;-;-
03355405014;Deutsch Evern;1260;1044;149;63;4;-
03355405016;Embsen;812;644;127;41;-;-
03355405024;Melbeck;1062;808;182;69;3;-
03355406;Ostheide, Samtgemeinde;3261;2512;552;164;26;7
03355406005;Barendorf;761;612;116;30;3;-
03355406026;Neetze;831;621;167;43;-;-
03355406030;Reinstorf;434;311;89;27;3;4
03355406036;Thomasburg;443;361;66;16;-;-
03355406038;Vastorf;248;176;44;21;7;-
03355406040;Wendisch Evern;544;431;70;27;13;3
03355407;Scharnebeck, Samtgemeinde;4892;3763;815;281;24;9
03355407003;Artlenburg;519;373;105;41;-;-
03355407011;Brietlingen;1077;858;184;35;-;-
03355407015;Echem;297;224;66;7;-;-
03355407018;Hittbergen;309;239;48;22;-;-
03355407019;Hohnstorf (Elbe);833;655;140;35;3;-
03355407021;Lüdersburg;260;200;28;29;3;-
03355407032;Rullstorf;593;476;89;28;-;-
03355407033;Scharnebeck;1004;738;155;84;18;9
03356002;Grasberg;2404;1877;404;123;-;-
03356005;Lilienthal;6051;4963;725;285;72;6
03356007;Osterholz-Scharmbeck;9412;7370;1262;617;150;13
03356008;Ritterhude;5184;4253;642;244;41;4
03356009;Schwanewede;6676;5531;837;274;25;9
03356011;Worpswede;3271;2549;544;162;16;-
03356401;Hambergen, Samtgemeinde;3952;3098;684;170;-;-
03356401001;Axstedt;401;312;57;32;-;-
03356401003;Hambergen;1904;1480;347;77;-;-
03356401004;Holste;409;334;56;19;-;-
03356401006;Lübberstedt;263;210;40;13;-;-
03356401010;Vollersode;975;762;184;29;-;-
03357008;Bremervörde;6135;4890;807;344;87;7
03357016;Gnarrenburg;3138;2540;485;110;3;-
03357039;Rotenburg (Wümme);6340;4848;864;464;132;32
03357041;Scheeßel;4267;3394;669;189;12;3
03357051;Visselhövede;3289;2375;648;243;19;4
03357401;Bothel, Samtgemeinde;2906;2384;435;87;-;-
03357401006;Bothel;865;746;94;25;-;-
03357401009;Brockel;457;407;41;9;-;-
03357401024;Hemsbünde;446;384;59;3;-;-
03357401025;Hemslingen;497;387;95;15;-;-
03357401031;Kirchwalsede;405;290;93;22;-;-
03357401054;Westerwalsede;236;170;53;13;-;-
03357402;Fintel, Samtgemeinde;2767;2315;353;99;-;-
03357402015;Fintel;1174;995;128;51;-;-
03357402023;Helvesiek;308;257;44;7;-;-
03357402033;Lauenbrück;749;607;117;25;-;-
03357402046;Stemmen;305;261;35;9;-;-
03357402049;Vahlde;231;195;29;7;-;-
03357403;Geestequelle, Samtgemeinde;2300;1872;356;72;-;-
03357403002;Alfstedt;283;234;37;12;-;-
03357403004;Basdahl;505;390;89;26;-;-
03357403012;Ebersdorf;380;297;62;21;-;-
03357403027;Hipstedt;486;405;78;3;-;-
03357403035;Oerel;646;546;90;10;-;-
03357404;Selsingen, Samtgemeinde;3133;2554;480;93;-;6
03357404003;Anderlingen;294;229;56;9;-;-
03357404011;Deinstedt;219;181;31;7;-;-
03357404014;Farven;216;175;41;-;-;-
03357404036;Ostereistedt;297;241;49;7;-;-
03357404038;Rhade;385;328;46;11;-;-
03357404040;Sandbostel;277;240;37;0;-;-
03357404042;Seedorf b Zeven;229;187;27;12;-;3
03357404043;Selsingen;1216;973;193;47;-;3
03357405;Sittensen, Samtgemeinde;3538;2855;497;171;15;-
03357405017;Gross Meckelsen;169;134;35;-;-;-
03357405019;Hamersen;155;134;17;4;-;-
03357405029;Kalbe;174;153;15;6;-;-
03357405032;Klein Meckelsen;292;249;40;3;-;-
03357405034;Lengenbostel;161;143;18;-;-;-
03357405044;Sittensen;1764;1333;293;123;15;-
03357405048;Tiste;266;228;25;13;-;-
03357405050;Vierden;305;275;20;10;-;-
03357405056;Wohnste;252;206;34;12;-;-
03357406;Sottrum, Samtgemeinde;4938;4012;705;196;25;-
03357406001;Ahausen;743;622;104;17;-;-
03357406005;Bötersen;350;299;42;9;-;-
03357406020;Hassendorf;356;279;61;16;-;-
03357406022;Hellwege;417;349;52;16;-;-
03357406028;Horstedt, Kr Rotenburg;398;295;75;28;-;-
03357406037;Reeßum;571;449;99;20;3;-
03357406045;Sottrum;2103;1719;272;90;22;-
03357407;Tarmstedt, Samtgemeinde;3580;2873;565;136;6;-
03357407007;Breddorf;385;311;65;9;-;-
03357407010;Bülstedt;243;177;54;12;-;-
03357407026;Hepstedt;334;261;49;21;3;-
03357407030;Kirchtimke;319;264;55;-;-;-
03357407047;Tarmstedt;1196;941;187;65;3;-
03357407052;Vorwerk;338;284;40;14;-;-
03357407053;Westertimke;159;145;11;3;-;-
03357407055;Wilstedt;606;490;104;12;-;-
03357408;Zeven, Samtgemeinde;7533;6168;918;402;42;3
03357408013;Elsdorf, Niedersachs;713;635;75;3;-;-
03357408018;Gyhum;785;635;119;27;4;-
03357408021;Heeslingen;1652;1369;252;31;-;-
03357408057;Zeven;4383;3529;472;341;38;3
03358002;Bispingen;2109;1545;401;148;15;-
03358004;Bomlitz;2379;1827;405;130;13;4
03358008;Bad Fallingbostel;3593;2457;690;387;56;3
03358016;Munster;4384;3204;521;598;45;16
03358017;Neuenkirchen, Lüneburger Heide;1924;1463;338;114;9;-
03358019;Schneverdingen;6135;4675;943;456;61;-
03358021;Soltau;6191;4349;1027;674;107;34
03358022;Walsrode;7056;5009;1301;628;102;16
03358023;Wietzendorf;1329;1001;259;65;-;4
03358401;Ahlden, Samtgemeinde;2305;1791;369;136;6;3
03358401001;Ahlden (Aller);561;418;96;41;6;-
03358401006;Eickeloh;289;241;36;12;-;-
03358401011;Grethem;228;189;21;18;-;-
03358401012;Hademstorf;285;224;54;7;-;-
03358401014;Hodenhagen;942;719;162;58;-;3
03358402;Rethem/Aller, Samtgemeinde;1499;1119;285;86;9;-
03358402003;Böhme;329;263;56;10;-;-
03358402009;Frankenfeld;173;129;35;9;-;-
03358402013;Häuslingen;257;189;50;15;3;-
03358402018;Rethem (Aller);740;538;144;52;6;-
03358403;Schwarmstedt, Samtgemeinde;4154;3221;698;206;26;3
03358403005;Buchholz (Aller);779;650;107;22;-;-
03358403007;Essel;392;323;59;10;-;-
03358403010;Gilten;391;296;65;30;-;-
03358403015;Lindwedel;974;813;128;33;-;-
03358403020;Schwarmstedt;1618;1139;339;111;26;3
03358501;Osterheide, gem.fr. Bezirk;285;243;33;9;-;-
03359010;Buxtehude;9914;7581;958;851;418;106
03359013;Drochtersen;4114;3538;384;165;27;-
03359028;Jork;3852;3030;544;244;31;3
03359038;Stade, Hansestadt;12956;9872;1267;1389;329;99
03359401;Apensen, Samtgemeinde;2820;2360;359;91;10;-
03359401003;Apensen;1148;981;129;31;7;-
03359401006;Beckdorf;886;717;125;41;3;-
03359401037;Sauensiek;786;662;105;19;-;-
03359402;Fredenbeck, Samtgemeinde;4221;3507;529;170;9;6
03359402011;Deinste;710;607;79;24;-;-
03359402017;Fredenbeck;1924;1611;204;97;6;6
03359402031;Kutenholz;1587;1289;246;49;3;-
03359403;Harsefeld, Samtgemeinde;6239;5098;776;329;27;9
03359403002;Ahlerstedt;1643;1357;232;51;3;-
03359403005;Bargstedt, Kr Stade;667;565;86;16;-;-
03359403008;Brest;250;216;31;3;-;-
03359403023;Harsefeld;3679;2960;427;259;24;9
03359404;Himmelpforten, Samtgemeinde;3286;2690;432;144;17;3
03359404014;Düdenbüttel;337;280;47;10;-;-
03359404015;Engelschoff;257;207;44;6;-;-
03359404019;Großenwörden;187;171;13;3;-;-
03359404022;Hammah;946;784;126;36;-;-
03359404025;Himmelpforten;1559;1248;202;89;17;3
03359405;Horneburg, Samtgemeinde;3676;2908;503;228;31;6
03359405001;Agathenburg;403;345;49;9;-;-
03359405007;Bliedersdorf;559;442;99;18;-;-
03359405012;Dollern;625;509;67;43;6;-
03359405027;Horneburg;1664;1276;221;136;25;6
03359405034;Nottensdorf;425;336;67;22;-;-
03359406;Lühe, Samtgemeinde;3504;2882;448;154;13;7
03359406020;Grünendeich;740;607;102;28;3;-
03359406021;Guderhandviertel;383;322;48;13;-;-
03359406026;Hollern-Twielenfleth;1199;983;150;63;-;3
03359406032;Mittelnkirchen;342;276;41;25;-;-
03359406033;Neuenkirchen b Horneburg, Niederelbe;281;250;25;3;3;-
03359406039;Steinkirchen, Kr Stade;559;444;82;22;7;4
03359407;Nordkehdingen, Samtgemeinde;3320;2959;273;82;6;-
03359407004;Balje;485;439;34;9;3;-
03359407018;Freiburg (Elbe);842;719;78;42;3;-
03359407030;Krummendeich;263;230;30;3;-;-
03359407035;Oederquart;504;459;39;6;-;-
03359407040;Wischhafen;1226;1112;92;22;-;-
03359408;Oldendorf, Samtgemeinde;2823;2396;365;62;-;-
03359408009;Burweg;358;295;47;16;-;-
03359408016;Estorf, Kr Stade;564;484;68;12;-;-
03359408024;Heinbockel;528;454;74;-;-;-
03359408029;Kranenburg, Niederelbe;279;243;36;-;-;-
03359408036;Oldendorf, Kr Stade;1094;920;140;34;-;-
03360004;Bienenbüttel;2316;1871;326;106;13;-
03360025;Uelzen;9578;6499;1440;1330;273;36
03360401;Bevensen, Samtgemeinde;5544;4009;928;476;107;24
03360401001;Altenmedingen;-;-;-;-;-;-
03360401002;Bad Bevensen, Stadt;-;-;-;-;-;-
03360401003;Barum;-;-;-;-;-;-
03360401008;Emmendorf;-;-;-;-;-;-
03360401011;Himbergen;-;-;-;-;-;-
03360401012;Jelmstorf;-;-;-;-;-;-
03360401017;Römstedt;-;-;-;-;-;-
03360401026;Weste;-;-;-;-;-;-
03360402;Bodenteich, Samtgemeinde;2177;1696;309;160;12;-
03360402005;Bad Bodenteich;-;-;-;-;-;-
03360402013;Lüder;-;-;-;-;-;-
03360402020;Soltendieck;-;-;-;-;-;-
03360403;Altes Amt Ebstorf, Samtgemeinde;3554;2748;606;187;13;-
03360403006;Ebstorf, Klosterflecken;-;-;-;-;-;-
03360403010;Hanstedt;-;-;-;-;-;-
03360403014;Natendorf;-;-;-;-;-;-
03360403019;Schwienau;-;-;-;-;-;-
03360403029;Wriedel;-;-;-;-;-;-
03360404;Rosche, Samtgemeinde;2566;2070;391;105;-;-
03360404015;Oetzen;409;304;64;41;-;-
03360404016;Rätzlingen, Kr Uelzen;151;115;36;0;-;-
03360404018;Rosche;774;622;129;23;-;-
03360404022;Stoetze;254;208;40;6;-;-
03360404024;Suhlendorf;978;821;122;35;-;-
03360405;Suderburg, Samtgemeinde;2473;1906;441;103;20;3
03360405007;Eimke;332;266;60;6;-;-
03360405009;Gerdau;540;425;99;16;-;-
03360405023;Suderburg;1601;1215;282;81;20;3
03360406;Wrestedt, Samtgemeinde;2315;1739;449;124;-;3
03360406021;Stadensen;461;348;93;20;-;-
03360406027;Wieren;837;600;191;46;-;-
03360406028;Wrestedt;1017;791;165;58;-;3
03360407;Bevensen-Ebstorf, Samtgemeinde;-;-;-;-;-;-
03360407001;Altenmedingen;557;436;86;32;3;-
03360407002;Bad Bevensen, Stadt;2713;1780;476;335;98;24
03360407003;Barum;304;226;60;18;-;-
03360407006;Ebstorf, Klosterflecken;1784;1387;274;113;10;-
03360407008;Emmendorf;280;211;50;16;3;-
03360407010;Hanstedt;331;276;39;16;-;-
03360407011;Himbergen;728;607;96;25;-;-
03360407012;Jelmstorf;351;291;47;13;-;-
03360407014;Natendorf;283;203;64;16;-;-
03360407017;Römstedt;261;172;69;20;-;-
03360407019;Schwienau;277;207;60;10;-;-
03360407026;Weste;350;286;44;17;3;-
03360407029;Wriedel;879;675;169;32;3;-
03360408;Aue, Samtgemeinde;-;x;x;x;x;x
03360408005;Bad Bodenteich;1328;1038;168;113;9;-
03360408013;Lüder;435;326;94;15;-;-
03360408020;Soltendiek;414;332;47;32;3;-
03360408030;Wrestedt;-;-;-;-;-;-
03361001;Achim b Bremen;9431;7288;1316;661;145;21
03361003;Dörverden;3004;2272;524;196;12;-
03361005;Kirchlinteln;3286;2517;589;177;3;-
03361006;Langwedel, Kr Verden;4501;3380;850;241;27;3
03361008;Ottersberg;3879;2939;664;250;19;7
03361009;Oyten;4852;3896;636;267;50;3
03361012;Verden (Aller);7574;5319;1175;876;183;21
03361401;Thedinghausen, Samtgemeinde;4829;3814;759;232;18;6
03361401002;Blender;956;757;165;28;6;-
03361401004;Emtinghausen;550;437;100;10;-;3
03361401010;Riede;893;718;121;54;-;-
03361401013;Thedinghausen;2430;1902;373;140;12;3
03401000;Delmenhorst, krsfr. Stadt;21373;15798;2919;1981;576;99
03402000;Emden, krsfr. Stadt;15105;11901;1137;1649;370;48
03403000;Oldenburg(Oldb), krsfr. Stadt;42877;30313;5424;5286;1501;353
03404000;Osnabrück, krsfr. Stadt;31845;16392;5548;7326;2282;297
03405000;Wilhelmshaven, krsfr. Stadt;17606;10640;1592;4097;1139;138
03451001;Apen;4045;3498;397;137;13;-
03451002;Bad Zwischenahn;9613;7581;1230;670;97;35
03451004;Edewecht;7172;6023;889;235;19;6
03451005;Rastede;7414;6126;933;323;29;3
03451007;Westerstede;7406;6204;765;379;43;15
03451008;Wiefelstede;5214;4403;605;181;13;12
03452001;Aurich (Ostfr.);14995;12589;1550;762;82;12
03452002;Baltrum;279;132;47;75;22;3
03452006;Großefehn;5022;4423;473;123;0;3
03452007;Großheide;3223;2819;325;79;-;-
03452011;Hinte;2834;2639;157;32;3;3
03452012;Ihlow, Ostfriesl;4636;4244;320;69;3;-
03452013;Juist;569;225;110;178;46;10
03452014;Krummhörn;5500;4937;400;160;3;-
03452019;Norden;10116;8289;1087;646;73;21
03452020;Norderney;1813;811;361;486;105;50
03452023;Südbrookmerland;7037;6334;579;121;3;-
03452025;Wiesmoor;4937;4276;486;161;7;7
03452027;Dornum;2848;2353;325;158;6;6
03452401;Brookmerland, Samtgemeinde;5078;4433;523;119;3;-
03452401015;Leezdorf;686;614;53;19;-;-
03452401017;Marienhafe;879;722;132;25;-;-
03452401021;Osteel;874;774;88;12;-;-
03452401022;Rechtsupweg;765;676;74;15;-;-
03452401024;Upgant-Schott;1425;1234;150;38;3;-
03452401026;Wirdum;449;413;26;10;-;-
03452403;Hage, Samtgemeinde;4971;4308;480;174;9;-
03452403003;Berumbur;1172;1024;111;37;-;-
03452403008;Hage;2877;2477;284;113;3;-
03452403009;Hagermarsch;223;192;21;7;3;-
03452403010;Halbemond;403;351;39;10;3;-
03452403016;Lütetsburg;296;264;25;7;-;-
03452501;Nordseeinsel Memmert, gem.fr. Geb.;-;x;x;x;x;x
03453001;Barßel;4250;3566;538;143;3;-
03453002;Bösel;2112;1677;337;91;4;3
03453003;Cappeln (Oldenburg);1877;1580;268;29;-;-
03453004;Cloppenburg;8953;6787;1314;735;111;6
03453005;Emstek;3173;2681;392;87;13;-
03453006;Essen (Oldenburg);2468;2001;354;107;6;-
03453007;Friesoythe;6166;5013;933;195;25;-
03453008;Garrel;3508;2771;587;141;9;-
03453009;Lastrup;2025;1720;259;43;3;-
03453010;Lindern (Oldenburg);1382;1120;221;41;-;-
03453011;Löningen;3965;3196;598;154;17;-
03453012;Molbergen;2151;1860;234;50;7;-
03453013;Saterland;4025;3245;602;167;11;-
03454010;Emsbüren;3106;2584;424;89;6;3
03454014;Geeste;3441;2950;408;71;9;3
03454018;Haren (Ems);7288;6210;826;236;13;3
03454019;Haselünne;4110;3475;491;134;6;4
03454032;Lingen (Ems);15200;11716;2083;1141;234;26
03454035;Meppen;10289;8383;1092;681;120;13
03454041;Papenburg;11096;9004;1334;675;63;20
03454044;Rhede (Ems);1311;1113;153;41;4;-
03454045;Salzbergen;2278;1822;369;78;9;-
03454054;Twist;2990;2535;383;68;4;-
03454401;Dörpen, Samtgemeinde;5068;4275;639;138;16;-
03454401007;Dersum;446;398;48;-;-;-
03454401008;Dörpen;1477;1192;200;69;16;-
03454401020;Heede, Ems;809;668;108;33;-;-
03454401025;Kluse;550;484;60;6;-;-
03454401030;Lehe, Ems;324;276;38;10;-;-
03454401037;Neubörger;506;433;59;14;-;-
03454401038;Neulehe;243;199;41;3;-;-
03454401056;Walchum;427;390;37;-;-;-
03454401060;Wippingen;286;235;48;3;-;-
03454402;Freren, Samtgemeinde;2998;2471;396;107;15;9
03454402001;Andervenne;239;191;41;7;-;-
03454402003;Beesten;507;427;74;6;-;-
03454402012;Freren;1461;1184;194;65;12;6
03454402036;Messingen;308;258;35;15;-;-
03454402053;Thuine;483;411;52;14;3;3
03454403;Herzlake, Samtgemeinde;3117;2690;356;61;10;-
03454403009;Dohren, Emsl;342;296;43;3;-;-
03454403021;Herzlake;1295;1106;145;34;10;-
03454403026;Lähden;1480;1288;168;24;-;-
03454404;Lathen, Samtgemeinde;3583;3044;399;131;9;-
03454404013;Fresenburg;340;311;29;-;-;-
03454404029;Lathen;1931;1598;218;106;9;-
03454404039;Niederlangen;409;351;54;4;-;-
03454404040;Oberlangen;301;274;18;9;-;-
03454404043;Renkenberge;203;167;27;9;-;-
03454404052;Sustrum;399;343;53;3;-;-
03454405;Lengerich, Samtgemeinde;2749;2342;334;73;-;-
03454405002;Bawinkel;696;583;86;27;-;-
03454405015;Gersten;375;333;39;3;-;-
03454405017;Handrup;247;229;12;6;-;-
03454405028;Langen, Emsl;429;370;56;3;-;-
03454405031;Lengerich, Emsl;838;675;129;34;-;-
03454405059;Wettrup;164;152;12;-;-;-
03454406;Nordhümmling, Samtgemeinde;3676;3076;471;118;11;-
03454406004;Bockhorst;335;302;26;7;-;-
03454406006;Breddenberg;228;197;31;-;-;-
03454406011;Esterwegen;1529;1254;215;56;4;-
03454406022;Hilkenbrook;258;236;12;6;4;-
03454406051;Surwold;1326;1087;187;49;3;-
03454407;Sögel, Samtgemeinde;4766;4012;579;172;3;-
03454407005;Börger;870;734;120;16;-;-
03454407016;Groß Berßen;192;179;10;3;-;-
03454407023;Hüven;175;148;24;3;-;-
03454407024;Klein Berßen;349;309;40;-;-;-
03454407047;Sögel;2090;1682;276;129;3;-
03454407048;Spahnharrenstätte;437;381;44;12;-;-
03454407050;Stavern;331;297;34;-;-;-
03454407058;Werpeloh;322;282;31;9;-;-
03454408;Spelle, Samtgemeinde;3564;2895;525;128;13;3
03454408034;Lünne;643;551;83;9;-;-
03454408046;Schapen;646;527;92;27;-;-
03454408049;Spelle;2275;1817;350;92;13;3
03454409;Werlte, Samtgemeinde;4775;3997;610;159;9;-
03454409027;Lahn;274;246;25;3;-;-
03454409033;Lorup;901;756;113;32;-;-
03454409042;Rastdorf;328;293;26;9;-;-
03454409055;Vrees;488;433;52;3;-;-
03454409057;Werlte;2784;2269;394;112;9;-
03455007;Jever;5087;4054;600;397;29;7
03455014;Sande;3069;2510;324;214;15;6
03455015;Schortens;7702;6629;764;250;55;4
03455020;Wangerland;4523;3712;494;293;18;6
03455021;Wangerooge;632;309;118;141;40;24
03455025;Bockhorn, Jadebusen;3176;2650;372;146;8;-
03455026;Varel;8919;7212;1029;637;34;7
03455027;Zetel;4237;3610;446;174;7;-
03456001;Bad Bentheim;5127;4256;564;253;45;9
03456015;Nordhorn;16645;13817;1709;841;223;55
03456025;Wietmarschen;3340;2827;436;74;3;-
03456401;Emlichheim, Samtgemeinde;4516;3833;587;90;6;-
03456401002;Emlichheim;2307;1939;302;60;6;-
03456401009;Hoogstede;888;758;112;18;-;-
03456401012;Laar;658;566;83;9;-;-
03456401019;Ringe;663;570;90;3;-;-
03456402;Neuenhaus, Samtgemeinde;4567;3869;589;94;12;3
03456402004;Esche;175;151;24;-;-;-
03456402005;Georgsdorf;391;333;58;-;-;-
03456402013;Lage, Dinkel;361;309;49;3;-;-
03456402014;Neuenhaus;3310;2808;399;88;12;3
03456402017;Osterwald;330;268;59;3;-;-
03456403;Schüttorf, Samtgemeinde;4864;4095;553;191;25;-
03456403003;Engden;127;121;6;-;-;-
03456403010;Isterberg;174;144;27;3;-;-
03456403016;Ohne;177;144;33;0;-;-
